Name,Re(V_l),Im(V_l),Re(V_r),Im(V_r),Re(I),Im(I),Re(Z),Im(Z),Re(S),Im(S)
consumer_15,239.434,0.000147922,0.558835,3.72902e-09,3.76767,2.33305e-06,63.4012,0,900,0.00111462
consumer_17,238.98,0.000295914,0.502071,0.0306587,3.77393,-0.000480493,63.1908,0,900,-0.229174
consumer_19,238.64,0.000429492,0.445053,0.0619635,3.77842,-0.000976098,63.0408,0,900,-0.465003
consumer_21,238.413,0.000533786,0.387958,0.0938131,3.78112,-0.00148178,62.951,0,900,-0.7054
consumer_23,238.299,0.000593628,0.330969,0.126103,3.78201,-0.00199471,62.9211,0,899.999,-0.949354
consumer_25,-119.716,207.357,0.296431,0.45239,-1.8879,3.25478,63.5694,0,-446.856,-781.23
consumer_27,-119.489,206.965,0.295065,0.387657,-1.89059,3.26046,63.3582,0,-447.075,-781.104
consumer_29,-119.319,206.671,0.294064,0.32244,-1.89238,3.26461,63.2077,0,-447.294,-780.979
consumer_31,-119.205,206.475,0.293427,0.256945,-1.89327,3.26721,63.1175,0,-447.513,-780.854
consumer_33,-119.148,206.377,0.293153,0.191382,-1.89327,3.26825,63.0874,-3.98456e-15,-447.729,-780.729
consumer_35,-119.717,-207.357,0.0529066,0.0307162,-1.87942,-3.2543,63.7272,4.02497e-15,-449.803,779.536
consumer_37,-119.491,-206.965,0.106964,0.0620511,-1.88297,-3.25948,63.5155,0,-449.601,779.653
consumer_39,-119.321,-206.671,0.161999,0.0939018,-1.88565,-3.26311,63.3646,4.00207e-15,-449.394,779.772
consumer_41,-119.208,-206.476,0.217829,0.126162,-1.88743,-3.26518,63.2742,0,-449.184,779.893
consumer_43,-119.151,-206.378,0.274269,0.158725,-1.88833,-3.2657,63.2441,-7.98891e-15,-448.972,780.016
